Heart_Rate,SpO2,Movement,Temperature_C,Humidity_pct,Noise_dB,Sleep_Duration_Hours,Sleep_Quality
72.47042737710109,96.68580632341533,0,16.775748817512483,63.021742405534276,27.354621368842988,6.688564377283239,Fair
66.75562128945934,97.13340064433562,2,31.45307311855749,64.7962838046936,14.720309305707584,7.360952726847584,Poor
73.82919684290623,96.78314272674582,1,24.138083459329373,46.04572287014946,17.62883180000373,7.409873785051456,Fair
81.70726870767223,97.63250165633535,1,24.4312967900455,41.773231244019954,24.4924177899638,7.048108533421343,Poor
65.89261962748998,98.9366142377543,1,24.81995128307908,47.955376418529596,12.147299211873708,6.853671983280938,Good
65.89276738745737,96.57474941143056,0,26.155616298520542,69.29045235951342,19.456726224082566,8.616647910079834,Fair
82.21291533956652,98.70098459732209,0,24.99921039619947,34.485332256112436,16.01177573136485,6.151724742648372,Poor
74.90691256237618,96.56199351318374,1,24.5998144334882,40.408396059378276,24.713132330501097,7.362550963376126,Fair
63.77473052658543,96.48284734500373,0,28.926754928068554,49.494766185690615,23.039678023301704,5.781738160135571,Fair
72.88304039227368,98.48231354201185,0,26.696788239252548,43.29194538505436,29.19481752854602,4.991512880080043,Fair
63.82924076468784,98.60632365360914,1,22.123588436887715,54.49992717503154,36.544673443562324,8.514703003268032,Fair
63.80843221786769,98.52169192411519,0,27.222021743007176,71.97431127314505,25.573848142068247,8.614456517553378,Good
70.1776604440943,95.92104311013823,1,26.572321009550016,40.55417863830108,12.975901605875757,6.666052317830951,Poor
50.780477798079815,96.94085882631354,0,23.364178823256342,53.2436058820268,7.516626221907821,7.255695639705376,Fair
52.475739507382706,98.48758631040398,1,27.376415279086483,54.90098836719428,29.623178094754984,6.881777069708201,Fair
62.939412236831245,97.54985020867667,1,24.52728219633088,50.984965017184464,21.345004680715707,6.882930972440738,Fair
58.884519916990186,96.21156858456304,0,24.334979583624698,36.05890028702534,26.426386111361158,6.663166636329577,Fair
70.82822599335746,98.04998152695053,0,24.253260647701197,47.34609373387732,31.29541155152203,7.706084432232296,Fair
59.8277833203091,96.64223128921023,0,17.7156458291428,47.38196378140245,42.431770138315414,6.780723532045456,Fair
55.289266687982376,99.65342981807065,2,23.419902001196196,62.602047467650934,10.524945131074166,7.656514123040784,Fair
81.19083892029398,99.35380975490192,0,27.139519726376804,60.034951572382056,17.87542374547272,9.034480147326269,Fair
65.96801329562118,98.22491691162668,0,24.93276627128871,36.37725100563043,27.147657060489017,7.628512445614735,Good
68.60775384219131,99.13320804572373,1,21.14444071043275,50.354363703798654,16.59806414733247,7.337279471531212,Good
55.177266324078886,97.57774962014805,0,27.893893765576113,48.996937501794925,13.109440319844454,6.5713683369608376,Fair
63.10055547927335,98.41852499325002,2,24.104199521369814,78.45634340460695,41.09577368682223,7.1841733478471985,Poor
68.9983033073888,99.2732643543625,2,21.33527352801543,58.50775816361947,17.52042959488953,5.362502460959011,Fair
57.641057803199274,97.79459841815317,0,31.618037385013047,42.07073897163358,14.908147788433272,8.893640395166244,Good
71.38128216511105,97.19377539418286,1,21.840482216536735,45.67842492878019,16.518505118191364,6.1461388371461005,Poor
62.59425179073075,95.45445365018746,0,27.63847453385713,50.45745520965533,38.859937950796386,5.089535847777144,Poor
65.3747562518605,97.4002397691342,1,22.692057697436187,59.348410904698504,21.04618349951164,7.084995494207763,Fair
62.584640489935424,98.48810782147477,1,25.407480503721466,60.819051353946854,14.143839457688511,7.589642652144768,Fair
84.67050366058044,98.63476011308116,0,22.293457109895474,57.405791712297344,19.598380991502644,8.656956227080403,Fair
67.8785249773586,98.10523807886209,0,21.282087456179024,52.48281705236483,27.518293381244888,7.469269200086148,Fair
58.480601639396895,96.85044108604531,2,26.56660763401423,53.36799610971589,36.91770995606276,8.21803739701652,Poor
75.4029042089287,95.12781411726289,0,26.2158716354032,53.45236928303058,36.07768479226149,8.222815567039893,Poor
57.0124071502608,96.90574188239432,1,28.433948332657195,33.605081232569376,20.222309940445584,8.115177311114651,Poor
69.8797723550428,97.13478615473525,0,24.896854209112412,54.26450054027584,22.68875873662265,5.952996942545099,Fair
50.36296888508202,97.12448523937198,0,31.661055382379473,48.07295133046753,49.02884070979089,7.762032846429167,Fair
56.04632555991412,98.24226762837351,1,25.805040002311106,35.166037350583224,37.956845304815,5.676457728589739,Poor
69.77175112282211,99.8828116932178,0,26.700324043711635,84.01459093643781,25.482198090684008,9.393833457057399,Excellent
74.64619921995869,97.64823504220931,1,20.924712264678313,58.735643271845426,5.04847559853274,7.967414211684239,Fair
69.54231453070973,97.23992185301225,0,23.15774705463241,55.15723909933956,23.411713415978483,6.5127256337469355,Fair
66.95916545850584,97.1889338243951,0,26.55903910154793,50.54646411285053,14.73380637860763,7.613439970431176,Good
65.2900667396964,97.64926172028926,2,24.74731671275925,63.76266950378423,19.373186142189418,6.088380215833972,Fair
54.69330208669315,96.50604748758192,1,25.563049405103907,41.052396889515826,18.346681782270316,5.489845258797494,Poor
61.52140212444762,97.64423827049526,2,22.55051873285742,51.24754849668624,25.68791837182924,8.164458950162103,Fair
63.854251061361914,98.04097480359816,2,25.365840920414865,43.573949407911115,28.69759616567377,6.121060704470593,Poor
77.51410003597024,97.75162327628938,2,25.35563767477521,63.65875424405623,20.684191584146873,7.000884082136942,Poor
71.09256460611616,98.04905032080573,2,21.458694940344284,45.07910624976815,15.22293689745947,7.426105950260256,Poor
52.132638601735394,98.02049713121825,0,26.927649534041773,68.21593373960437,26.210687327160908,6.999337860017977,Fair
70.91675572455316,95.37372398130427,2,19.899805159246093,53.808695348754526,23.01721222893842,6.0691607768919535,Very Poor
64.53425947625315,98.26424419007448,0,25.55271424179305,64.29388116192467,9.024608061883999,7.266774389143722,Good
61.90770199724637,96.69478218520506,0,30.296778081476504,59.798306612450496,34.07570942526244,7.362827485913572,Fair
73.50508659956782,96.18499300439525,0,27.041651613457248,67.71093800794623,20.71152764047789,8.158439926771896,Fair
77.27899570246356,96.174657806574,0,27.02289773811131,43.77788084765772,25.305477518689262,9.889378644759622,Fair
76.38152107204579,98.02024993256704,1,22.307719975153944,65.86747821935968,25.801536301555114,5.026048476119656,Poor
60.44704229099625,97.23291008733018,0,30.30718615945858,32.64893616124884,27.84559090506294,6.32162674070316,Fair
65.21708861733907,95.48163745921751,0,29.130154283806867,55.51752114536423,29.460433213689463,7.445236195103202,Fair
70.98137088263208,98.07364537823074,0,22.469229931313297,48.448936812363826,14.954022322365642,8.311845940712793,Good
76.77990614410123,95.77247024304141,0,23.57571027455537,38.14550339205955,31.123584925488746,7.580969546622861,Fair
63.68743185939239,97.66778563022186,1,28.763968134780065,44.277734500079916,24.558665988711994,8.43529191957869,Fair
